id_cliente,nombre_cliente,tipo_cliente,segmento_cliente,fecha_apertura,edad,region,ingreso_anual,puntuacion_credito,empleado_asignado,sucursal_principal,activo
0760E0BD,Erickson-Hernandez,PYME,Corporativo,2021-06-09,0,Este,4635275.43,552,Anthony Andrews,Sucursal 11 - Centro,True
7B7389AA,"Tucker, Patterson and Taylor",PYME,Bronce,2021-11-16,0,Internacional,4773927.67,592,William Brown,Sucursal 7 - Norte,False
C5A22CDE,Adams-Mccormick,Empresa,Bronce,2021-02-16,0,Norte,2156430.39,0,Anthony Andrews,Sucursal 15 - Sur,True
A57EA693,William Lester,Estudiante,Diamante,2019-01-03,25,Este,2386424.4,0,Robin Oneill,Sucursal 2 - Sur,False
B385EC58,Nash Group,Gobierno,Platino,2014-08-10,0,Internacional,518044.7,0,Ernest Brown,Sucursal 1 - Oeste,False
A96F44F8,David Patton,Estudiante,Platino,2014-08-13,63,Sur,2646947.88,0,David Wilson,Sucursal 16 - Centro,False
8159DCDF,Johnson Inc,Empresa,Plata,2016-02-03,0,Norte,577633.83,0,Timothy Robertson,Sucursal 11 - Centro,False
3EFA110E,Peter Davies,Jubilado,Diamante,2010-06-12,77,Centro,687340.21,0,Robin Oneill,Sucursal 6 - Oeste,False
C9E28871,Blake Griffin,Estudiante,Plata,2010-07-21,24,Centro,324430.06,0,Gregory Nash,Sucursal 10 - Norte,True
FAD20038,Justin Crawford,VIP,Bronce,2016-06-15,59,Centro,1190848.52,0,Mr. Michael Sutton III,Sucursal 12 - Sur,False
E4EDF138,Dr. Melissa Oconnor,Estudiante,Bronce,2011-06-06,48,Centro,648397.46,0,Timothy Robertson,Sucursal 7 - Norte,False
C8FC772F,Brandy Richardson,VIP,Diamante,2023-10-29,43,Metropolitana,1233022.3,0,Walter Price,Sucursal 2 - Sur,True
8FB888E2,Matthew Wolf,Estudiante,Nuevo,2014-12-05,76,Centro,2287197.32,0,Peter Johnson,Sucursal 16 - Centro,True
F5B05964,Brown-Clark,PYME,Platino,2023-07-24,0,Internacional,1790861.64,466,Darlene Mueller,Sucursal 10 - Norte,False
48B8C8D2,Christie Miller,Estudiante,Institucional,2011-02-03,71,Norte,4491523.84,0,Jared Herman,Sucursal 17 - Norte,True
F6BE5751,Brown and Sons,Empresa,Nuevo,2011-09-23,0,Centro,2081398.54,0,Denise Brown,Sucursal 3 - Este,True
77713961,"Pearson, Ferguson and Rodriguez",Empresa,Bronce,2018-08-05,0,Oeste,1452398.26,0,Jeremy Lane,Sucursal 4 - Norte,True
905296CD,James Santos,Individual,Oro,2020-01-28,55,Este,71768.61,378,Ms. Hannah Dixon,Sucursal 5 - Oeste,True
0FECC7D7,Matthew Blankenship,Jubilado,Diamante,2022-05-20,19,Internacional,3451196.75,0,Connor Ellis,Sucursal 11 - Centro,True
6E52C833,Clark and Sons,ONG,Bronce,2014-01-18,0,Metropolitana,4358497.78,0,Scott Warner,Sucursal 4 - Norte,False
41636CA4,Brown LLC,ONG,Plata,2018-04-02,0,Este,2509876.44,0,Courtney Davis,Sucursal 18 - Oeste,False
8E786141,"Cline, Myers and Bailey",Gobierno,Corporativo,2011-07-05,0,Norte,175949.87,0,Peter Johnson,Sucursal 2 - Sur,True
C3A841B8,Wilson-Cohen,PYME,Nuevo,2015-10-26,0,Oeste,492004.01,592,Darlene Mueller,Sucursal 1 - Oeste,False
EB664033,White Group,Gobierno,Bronce,2023-04-06,0,Norte,338444.36,0,Mr. Michael Sutton III,Sucursal 15 - Sur,False
5C2E561B,Flores-Porter,Empresa,Nuevo,2022-04-15,0,Oeste,732709.99,0,Jacob Ochoa,Sucursal 2 - Sur,True
3AF90E0C,Stephens PLC,PYME,Corporativo,2011-12-01,0,Este,617860.87,630,Tiffany Chavez,Sucursal 19 - Norte,False
5AC1014E,"Swanson, Sherman and Peterson",Empresa,Bronce,2013-02-20,0,Norte,3021234.84,0,Amanda Nguyen,Sucursal 7 - Norte,False
0BF615F3,"Davis, Carr and Sanchez",Gobierno,Corporativo,2017-11-23,0,Sur,4282406.09,0,Timothy Robertson,Sucursal 14 - Norte,True
1EF4F2E0,Yvonne Anderson,Jubilado,Institucional,2013-07-13,39,Oeste,204662.02,0,Deborah Fitzgerald,Sucursal 4 - Norte,True
342DD546,Sims-Meyer,Gobierno,Institucional,2010-03-12,0,Internacional,631112.38,0,Luis Francis,Sucursal 12 - Sur,True
7FA01A57,Hamilton-Evans,Gobierno,Platino,2018-07-06,0,Internacional,4590702.23,0,Lisa Bishop,Sucursal 10 - Norte,False
048955E6,Ricky Downs,Jubilado,Platino,2016-03-19,32,Sur,3202765.93,0,Joseph Arnold,Sucursal 2 - Sur,False
13CE672A,Linda Rodriguez,VIP,Nuevo,2021-02-28,19,Sur,4925453.73,0,Robin Oneill,Sucursal 20 - Este,False
983CD515,Richardson-Chen,Empresa,Oro,2019-11-02,0,Norte,2584946.07,0,Jacob Ochoa,Sucursal 7 - Norte,False
F6AF330A,Johnson-Moses,Empresa,Bronce,2022-08-06,0,Centro,1711785.43,0,Sherry Ball,Sucursal 19 - Norte,False
4FD82F6A,Potter Ltd,Empresa,Platino,2020-06-10,0,Norte,4378231.37,0,William Carpenter,Sucursal 13 - Centro,True
2EF892AB,Roger Clark,VIP,Oro,2016-03-13,47,Oeste,4943352.92,0,Tasha Ferguson,Sucursal 3 - Este,True
594FB13B,Hall LLC,ONG,Platino,2016-04-12,0,Sur,1578005.11,0,Brenda Richards,Sucursal 13 - Centro,True
8990A8F4,Brown-Hernandez,Gobierno,Platino,2012-11-28,0,Internacional,2111812.56,0,Larry Moore,Sucursal 10 - Norte,True
EC054A7A,Gabriel Glover,Estudiante,Bronce,2022-02-12,37,Este,4554883.16,0,Peter Johnson,Sucursal 19 - Norte,True
808565E3,Gonzales-Thomas,Empresa,Oro,2019-08-08,0,Norte,3899701.05,0,Peter Johnson,Sucursal 14 - Norte,False
C159067B,Kelly Palmer,Estudiante,Corporativo,2015-05-01,78,Este,4493916.82,0,Gregory Nash,Sucursal 14 - Norte,True
46204DE3,Michael Bean,Individual,Corporativo,2010-07-31,44,Centro,63392.15,472,Courtney Davis,Sucursal 3 - Este,False
1C4E577C,"Ross, Gutierrez and Bright",PYME,Diamante,2014-09-13,0,Internacional,1493771.06,649,Larry Moore,Sucursal 6 - Oeste,True
8F5472B7,John Blake,Estudiante,Diamante,2022-08-06,74,Oeste,422004.41,0,Dennis Rojas,Sucursal 3 - Este,True
1669D4E9,Richard Matthews,Individual,Nuevo,2023-05-10,44,Centro,372704.14,435,Gina Gill,Sucursal 15 - Sur,False
5D87EBDB,Patterson-Watkins,ONG,Bronce,2020-12-29,0,Metropolitana,2077188.81,0,Tiffany Chavez,Sucursal 11 - Centro,True
13E1CD5C,"Collins, Reeves and Miller",Gobierno,Oro,2022-05-15,0,Metropolitana,4584321.73,0,Peter Johnson,Sucursal 5 - Oeste,False
A14A3D0B,"Brown, Simmons and Hunt",Empresa,Institucional,2017-06-15,0,Sur,2931106.4,0,Lisa Bishop,Sucursal 7 - Norte,True
62C7646F,Colleen Rogers,VIP,Diamante,2022-09-27,45,Este,3520640.73,0,Scott Hines,Sucursal 9 - Centro,False
7E306E9D,Kellie Anderson,Jubilado,Institucional,2016-11-05,21,Metropolitana,608322.19,0,Anthony Andrews,Sucursal 12 - Sur,False
AD9ECAB9,Acosta Group,PYME,Bronce,2013-10-06,0,Centro,3049339.4,751,Dennis Rojas,Sucursal 15 - Sur,False
058397CE,Curtis Brown,Jubilado,Institucional,2018-12-02,22,Metropolitana,1295922.69,0,Theresa Zavala,Sucursal 11 - Centro,True
2ADC646E,John Mcguire,VIP,Plata,2015-11-08,31,Oeste,4927542.94,0,Amanda Nguyen,Sucursal 2 - Sur,False
820067AE,"Morales, Smith and Edwards",Empresa,Institucional,2012-05-20,0,Este,2686018.12,0,Robin Oneill,Sucursal 18 - Oeste,True
D312C158,Jones Inc,ONG,Bronce,2013-04-04,0,Sur,4258891.34,0,William Brown,Sucursal 16 - Centro,False
753965CF,Laurie Williams,Jubilado,Nuevo,2021-10-28,38,Norte,977852.5,0,Amber Turner,Sucursal 18 - Oeste,False
147186B6,Amy White,Jubilado,Platino,2010-02-15,62,Norte,3739010.47,0,Larry Moore,Sucursal 15 - Sur,True
835F9BF1,Davis LLC,Empresa,Plata,2016-07-09,0,Centro,379548.9,0,Tiffany Chavez,Sucursal 14 - Norte,True
ABB1106A,Abigail Mcfarland,VIP,Platino,2022-05-26,60,Norte,2252978.0,0,Amber Turner,Sucursal 18 - Oeste,False
D0F266B5,Johnson-Morales,Gobierno,Oro,2018-10-20,0,Centro,4334324.54,0,Kristin Elliott,Sucursal 4 - Norte,False
38D69BD2,"Snyder, Ortiz and Chambers",Gobierno,Institucional,2011-12-16,0,Metropolitana,668880.24,0,Tasha Ferguson,Sucursal 13 - Centro,True
FFC63C5A,Kevin Carter,Estudiante,Plata,2016-09-23,27,Este,956902.56,0,Walter Price,Sucursal 20 - Este,False
6DBB7442,Kathy Anderson,VIP,Plata,2019-10-02,28,Este,1873877.63,0,Scott Warner,Sucursal 5 - Oeste,False
839B3647,"Thomas, Mckee and Diaz",ONG,Oro,2016-10-12,0,Oeste,4137891.49,0,Amanda Nguyen,Sucursal 8 - Oeste,True
DE15C453,Lopez-Wells,PYME,Plata,2015-03-05,0,Sur,4230464.71,400,Anthony Andrews,Sucursal 11 - Centro,False
A9C22C08,Heather Allen,VIP,Plata,2020-12-24,25,Centro,2173149.59,0,Connor Ellis,Sucursal 13 - Centro,True
406B0AF4,Matthews-Scott,PYME,Plata,2012-12-02,0,Norte,3662265.74,628,Luis Francis,Sucursal 9 - Centro,True
E7D7055E,Chloe Landry,Jubilado,Nuevo,2015-11-06,36,Sur,4117336.22,0,Tiffany Chavez,Sucursal 20 - Este,False
E31366DA,James Campbell,Jubilado,Nuevo,2020-06-26,30,Internacional,2532123.0,0,Michael Alvarez Jr.,Sucursal 17 - Norte,True
FD292036,Kevin Warner,Individual,Plata,2011-08-31,51,Centro,373828.97,829,Michael Alvarez Jr.,Sucursal 20 - Este,True
6F87CF21,Morgan Inc,Empresa,Diamante,2015-09-10,0,Internacional,1672507.66,0,Jacob Ochoa,Sucursal 16 - Centro,True
43283882,Charles Brooks,VIP,Diamante,2023-06-08,61,Metropolitana,4897564.43,0,Denise Brown,Sucursal 16 - Centro,True
94BBD24B,Gutierrez-Day,Empresa,Oro,2015-01-27,0,Oeste,3619248.16,0,Lauren Haynes,Sucursal 11 - Centro,False
94BACD0A,Flores-Martin,Gobierno,Corporativo,2016-09-25,0,Oeste,2312478.08,0,David Wilson,Sucursal 9 - Centro,True
5295B070,"Crosby, Sims and Young",Gobierno,Nuevo,2012-04-03,0,Oeste,275012.24,0,Patricia Anderson,Sucursal 9 - Centro,False
15CA1BF2,Kim Thompson,Jubilado,Oro,2016-10-10,65,Metropolitana,3260454.7,0,William Carpenter,Sucursal 6 - Oeste,True
EBDD6DE4,Michael Cox,Individual,Bronce,2022-10-04,77,Internacional,425468.52,816,Jason Miller,Sucursal 8 - Oeste,False
8FE50997,William Estrada,Estudiante,Plata,2019-03-09,59,Oeste,1149102.87,0,Stephen George,Sucursal 16 - Centro,False
52472381,Valerie Robinson,Jubilado,Bronce,2020-09-23,75,Internacional,3816893.6,0,Lauren Haynes,Sucursal 11 - Centro,False
49CC2742,Travis Wood,VIP,Diamante,2018-05-08,38,Centro,2603215.54,0,Juan Hoover,Sucursal 5 - Oeste,False
F7AAD75F,Christopher Gomez,Individual,Nuevo,2015-08-15,71,Oeste,18588.12,377,Natalie White,Sucursal 4 - Norte,True
343178DB,Stephanie Russell DDS,Estudiante,Plata,2013-12-04,30,Internacional,2618250.1,0,William Carpenter,Sucursal 2 - Sur,False
ACA201AC,Wilson-Jenkins,Empresa,Nuevo,2014-01-08,0,Internacional,4841213.92,0,Michael Alvarez Jr.,Sucursal 4 - Norte,False
EEDA2462,Adams-Cunningham,Empresa,Plata,2015-02-19,0,Centro,2481919.82,0,Jeremy Lane,Sucursal 7 - Norte,False
5C55D896,Jeremy Smith,Jubilado,Institucional,2015-10-28,21,Oeste,4665765.31,0,Justin Skinner,Sucursal 6 - Oeste,False
BA914E97,Jacob Hayes,Individual,Plata,2013-02-07,47,Internacional,291635.38,677,Courtney Davis,Sucursal 3 - Este,False
7BCD2359,Jill Miranda,VIP,Bronce,2012-05-15,26,Metropolitana,1057555.09,0,William Brown,Sucursal 6 - Oeste,False
FDC7D93F,Susan Anderson DDS,Individual,Corporativo,2016-10-12,47,Metropolitana,316810.61,567,Denise Brown,Sucursal 12 - Sur,False
3B822746,Dana Hayes,Jubilado,Plata,2015-03-07,38,Sur,2626636.59,0,Lauren Haynes,Sucursal 5 - Oeste,False
A9EB9E92,Stephen Mason,VIP,Institucional,2012-02-07,29,Oeste,1728114.03,0,Jason Jones,Sucursal 4 - Norte,True
09433121,Davis-Johnston,PYME,Diamante,2019-06-26,0,Metropolitana,4374637.03,334,Amber Turner,Sucursal 2 - Sur,False
ADE453F5,Rebecca Smith,Individual,Corporativo,2013-02-19,76,Centro,316838.2,328,Jeremy Lane,Sucursal 6 - Oeste,False
8801B168,Cruz and Sons,ONG,Diamante,2014-04-19,0,Sur,1332572.38,0,Jacob Ochoa,Sucursal 10 - Norte,False
550BF7C8,Emily Leonard,VIP,Diamante,2012-10-10,43,Norte,991330.0,0,Luis Francis,Sucursal 12 - Sur,True
35B7E29F,Lawrence Morrison,Estudiante,Diamante,2016-05-16,60,Internacional,3297783.47,0,Kelly Floyd,Sucursal 8 - Oeste,True
EB8A3BE2,Moore PLC,Gobierno,Bronce,2016-01-17,0,Centro,69086.34,0,Justin Skinner,Sucursal 8 - Oeste,False
4643955B,Reese-Reynolds,PYME,Nuevo,2015-09-23,0,Metropolitana,4465937.47,545,John Simpson,Sucursal 11 - Centro,False
53A875ED,Amanda Rivas,Individual,Institucional,2015-07-18,42,Este,404556.26,353,Larry Moore,Sucursal 12 - Sur,True
669F9F06,Micheal Hardy,VIP,Diamante,2013-08-28,69,Metropolitana,462096.17,0,Deborah Fitzgerald,Sucursal 5 - Oeste,False
C629B80C,Pam Mckee,VIP,Platino,2019-10-15,74,Oeste,1771472.45,0,Tasha Ferguson,Sucursal 18 - Oeste,False
79BB40B8,Heather Gonzales,VIP,Institucional,2016-10-13,44,Norte,963898.22,0,Dennis Rojas,Sucursal 10 - Norte,False
2FB22AFA,"Gregory, Rhodes and Simpson",PYME,Nuevo,2017-12-21,0,Sur,3637125.8,659,Courtney Davis,Sucursal 18 - Oeste,True
177C080D,Ronald Robinson,VIP,Platino,2022-08-08,35,Sur,4881316.58,0,Robin Oneill,Sucursal 3 - Este,True
1880CC6E,Coffey PLC,ONG,Platino,2021-09-18,0,Metropolitana,4290431.62,0,Gina Gill,Sucursal 15 - Sur,False
57D80F09,Bryce Campbell,Jubilado,Institucional,2011-12-11,58,Este,4872884.75,0,Justin Skinner,Sucursal 12 - Sur,False
6A9BD24F,Matthew Gomez,Jubilado,Diamante,2017-03-05,58,Sur,4797379.2,0,Jeremy Lane,Sucursal 20 - Este,True
0E5A924D,Davis and Sons,Gobierno,Nuevo,2020-11-04,0,Oeste,3907019.7,0,Natalie White,Sucursal 10 - Norte,True
4AB651F6,Nielsen Group,Gobierno,Institucional,2012-02-21,0,Internacional,3620110.69,0,Darlene Mueller,Sucursal 14 - Norte,True
8A94F9F7,Sonia Gibbs,VIP,Institucional,2019-01-06,26,Sur,275431.93,0,Joseph Arnold,Sucursal 19 - Norte,True
4EAF9C66,Freeman LLC,Empresa,Plata,2023-12-31,0,Internacional,4542443.96,0,Juan Hoover,Sucursal 14 - Norte,False
84072847,Kimberly Harvey,Individual,Plata,2017-09-10,52,Oeste,198742.01,782,Courtney Davis,Sucursal 3 - Este,True
D65B6D21,"Lang, Pham and Luna",Gobierno,Platino,2020-09-27,0,Oeste,1826211.74,0,Lisa Bishop,Sucursal 17 - Norte,False
326BA4A7,Gibson PLC,PYME,Nuevo,2017-09-08,0,Sur,2330699.83,751,Ernest Brown,Sucursal 7 - Norte,False
20E7D063,Patricia Glover,Jubilado,Diamante,2014-03-20,38,Este,4977481.63,0,Jeremy Lane,Sucursal 9 - Centro,True
4E7BFA89,Karen Baker,VIP,Diamante,2013-02-16,29,Este,1264516.9,0,Walter Price,Sucursal 2 - Sur,False
CD7D3551,Duran-Osborne,Empresa,Nuevo,2012-02-06,0,Sur,2798086.09,0,Ms. Hannah Dixon,Sucursal 8 - Oeste,False
82AAF649,"Hodges, Black and Gray",PYME,Plata,2012-05-16,0,Internacional,1224210.37,757,Ms. Hannah Dixon,Sucursal 3 - Este,False
79BA048E,Barbara Molina,Jubilado,Oro,2017-12-25,40,Este,4594335.38,0,Larry Moore,Sucursal 19 - Norte,True
2A32A990,Beck and Sons,ONG,Nuevo,2016-04-15,0,Sur,1920110.8,0,Patricia Anderson,Sucursal 15 - Sur,True
E879257D,"Freeman, Pham and Harrison",ONG,Bronce,2013-09-20,0,Este,3051914.06,0,Peter Johnson,Sucursal 1 - Oeste,True
15A846C8,Kimberly Turner,Estudiante,Plata,2023-05-21,67,Internacional,3213763.52,0,Megan Thomas,Sucursal 12 - Sur,False
3E156AA6,"West, Hart and Wright",ONG,Platino,2011-06-05,0,Este,3549401.88,0,Connor Ellis,Sucursal 9 - Centro,False
11090943,Brandi Hooper,VIP,Corporativo,2016-06-14,41,Oeste,4725542.8,0,Lisa Bishop,Sucursal 8 - Oeste,False
8AC5D157,Michael Powers,VIP,Diamante,2016-12-21,30,Norte,4905035.41,0,Megan Thomas,Sucursal 4 - Norte,True
DA9A9A24,Hansen Ltd,Empresa,Nuevo,2010-01-26,0,Este,585989.0,0,Theresa Zavala,Sucursal 20 - Este,True
CFCF284E,Gary Wilson,Estudiante,Nuevo,2022-05-13,27,Metropolitana,643691.9,0,Timothy Robertson,Sucursal 17 - Norte,True
45C6B986,Phillips Ltd,ONG,Nuevo,2019-12-06,0,Este,4647250.79,0,Gina Gill,Sucursal 20 - Este,True
AFD91E70,"Blake, Brown and Schwartz",Empresa,Plata,2018-12-14,0,Oeste,3163382.47,0,Walter Price,Sucursal 20 - Este,False
188F6ED8,Stacey Baldwin MD,VIP,Corporativo,2021-01-25,71,Metropolitana,3896024.89,0,Timothy Robertson,Sucursal 13 - Centro,True
06B0082B,Robert Carr,Estudiante,Diamante,2019-05-24,57,Metropolitana,1773486.25,0,Stephen George,Sucursal 3 - Este,False
D127B6ED,Lisa Dean,Jubilado,Plata,2017-04-18,65,Este,3774296.61,0,John Simpson,Sucursal 16 - Centro,False
069DE163,Kurt Lopez,Estudiante,Corporativo,2011-07-30,30,Internacional,977301.2,0,Ashley Nielsen,Sucursal 5 - Oeste,True
C80CC727,Scott Hall,VIP,Bronce,2019-11-06,56,Sur,861831.96,0,Walter Price,Sucursal 13 - Centro,False
5C639CBB,Curtis Inc,ONG,Bronce,2012-02-08,0,Este,3214549.17,0,Jason Jones,Sucursal 15 - Sur,True
7EDCE41A,Dean Group,PYME,Diamante,2014-12-08,0,Oeste,4831031.7,700,Jacob Ochoa,Sucursal 1 - Oeste,False
A4D7AB04,Miller LLC,ONG,Corporativo,2013-04-20,0,Este,1143035.55,0,Scott Hines,Sucursal 13 - Centro,True
4D541D5B,Tasha Cruz,Individual,Diamante,2012-01-11,79,Metropolitana,284951.0,359,Connor Ellis,Sucursal 12 - Sur,False
EDFFB4E5,Christina Walker,VIP,Bronce,2023-08-28,51,Metropolitana,515086.83,0,Scott Warner,Sucursal 9 - Centro,False
99AF4B4E,Yvonne Woods,VIP,Plata,2019-01-28,43,Este,1807438.13,0,Jason Jones,Sucursal 9 - Centro,False
FBE35F9D,Nicole Perez,VIP,Oro,2015-01-25,51,Centro,4699962.87,0,Darlene Mueller,Sucursal 15 - Sur,True
24041342,Christina Johnson,Individual,Oro,2017-04-13,49,Este,298137.8,843,Theresa Zavala,Sucursal 4 - Norte,True
3CB16B5E,"Phillips, Rowe and Martinez",ONG,Oro,2011-03-17,0,Internacional,3132576.05,0,Lisa Bishop,Sucursal 4 - Norte,False
3DA25F93,Paul Jackson,VIP,Bronce,2010-04-05,74,Internacional,4043043.06,0,Tiffany Chavez,Sucursal 9 - Centro,True
B634A614,"Villarreal, Ray and Johnson",Gobierno,Plata,2020-10-26,0,Este,4441280.48,0,Tasha Ferguson,Sucursal 9 - Centro,False
3B05BBC2,Medina Inc,Empresa,Platino,2017-09-17,0,Este,1519219.49,0,Scott Warner,Sucursal 12 - Sur,True
2D739243,Chelsea Medina,Jubilado,Diamante,2010-04-30,54,Metropolitana,1049566.36,0,Denise Brown,Sucursal 20 - Este,True
6CE15191,"Ramirez, Williams and Ibarra",Empresa,Corporativo,2016-09-07,0,Metropolitana,3993805.12,0,Gina Gill,Sucursal 4 - Norte,True
3F56CA44,Jennifer Walters,Individual,Plata,2012-05-19,23,Norte,286931.72,564,Larry Moore,Sucursal 1 - Oeste,False
C4073FB8,Maxwell-Kim,Empresa,Bronce,2023-10-04,0,Centro,1041493.59,0,Gina Gill,Sucursal 17 - Norte,True
9E3628A6,Eric Lopez,Estudiante,Nuevo,2016-02-26,24,Este,1376273.88,0,Natalie White,Sucursal 17 - Norte,True
1F3A9D79,Jennifer Martinez DDS,Individual,Institucional,2023-04-11,20,Oeste,456019.19,438,John Simpson,Sucursal 4 - Norte,True
3D34B8AA,Kristin Torres,Estudiante,Oro,2021-08-10,36,Internacional,1646443.36,0,Justin Skinner,Sucursal 20 - Este,True
CA3566B2,Jose Hall,Individual,Oro,2010-10-21,64,Internacional,475383.62,786,Michael Alvarez Jr.,Sucursal 19 - Norte,False
993707ED,Chavez Ltd,Empresa,Diamante,2010-10-24,0,Internacional,3947120.62,0,Tasha Ferguson,Sucursal 2 - Sur,True
083EF443,Green LLC,ONG,Nuevo,2022-08-01,0,Sur,3343580.68,0,Denise Brown,Sucursal 7 - Norte,True
5C324954,Davis PLC,Empresa,Plata,2023-05-21,0,Metropolitana,389225.43,0,Juan Hoover,Sucursal 12 - Sur,False
D548DDCA,Barrera PLC,Empresa,Corporativo,2011-06-29,0,Centro,3297695.03,0,Jared Herman,Sucursal 5 - Oeste,True
C11867FD,Page Group,ONG,Platino,2021-09-24,0,Sur,905346.95,0,Kelly Floyd,Sucursal 3 - Este,True
376BA040,"Hamilton, Schroeder and Flores",ONG,Corporativo,2023-10-29,0,Norte,1857788.65,0,Jeremy Lane,Sucursal 2 - Sur,True
